team,win,loss,win_percentage,home_games,total_games,home_percentage
Albany St.,1,0,1,0,1,0
Anderson SC,1,0,1,0,1,0
Clark Atlanta,1,0,1,0,1,0
Houston,13,0,1,10,13,0.7692307692307693
James Madison,13,0,1,6,13,0.46153846153846156
Mississippi,13,0,1,11,13,0.8461538461538461
Rocky Mountain,1,0,1,0,1,0
Nevada,13,1,0.9285714285714286,10,14,0.7142857142857143
BYU,12,1,0.9230769230769231,11,13,0.8461538461538461
Colorado St.,12,1,0.9230769230769231,9,13,0.6923076923076923
Grand Canyon,12,1,0.9230769230769231,11,13,0.8461538461538461
Kansas,12,1,0.9230769230769231,9,13,0.6923076923076923
New Mexico,12,1,0.9230769230769231,10,13,0.7692307692307693
Oklahoma,12,1,0.9230769230769231,10,13,0.7692307692307693
Princeton,12,1,0.9230769230769231,5,13,0.38461538461538464
Purdue,12,1,0.9230769230769231,9,13,0.6923076923076923
South Carolina,12,1,0.9230769230769231,10,13,0.7692307692307693
Utah St.,12,1,0.9230769230769231,9,13,0.6923076923076923
Clemson,11,1,0.9166666666666666,8,12,0.6666666666666666
Purdue Fort Wayne,13,2,0.8666666666666667,10,15,0.6666666666666666
Cincinnati,11,2,0.8461538461538461,11,13,0.8461538461538461
Colorado,11,2,0.8461538461538461,10,13,0.7692307692307693
Connecticut,11,2,0.8461538461538461,7,13,0.5384615384615384
Drake,11,2,0.8461538461538461,8,13,0.6153846153846154
George Mason,11,2,0.8461538461538461,8,13,0.6153846153846154
George Washington,11,2,0.8461538461538461,12,13,0.9230769230769231
Indiana St.,11,2,0.8461538461538461,7,13,0.5384615384615384
Iowa St.,11,2,0.8461538461538461,10,13,0.7692307692307693
McNeese St.,11,2,0.8461538461538461,8,13,0.6153846153846154
Memphis,11,2,0.8461538461538461,8,13,0.6153846153846154
Mississippi St.,11,2,0.8461538461538461,9,13,0.6923076923076923
Nebraska,11,2,0.8461538461538461,11,13,0.8461538461538461
Ohio St.,11,2,0.8461538461538461,11,13,0.8461538461538461
Providence,11,2,0.8461538461538461,12,13,0.9230769230769231
Samford,11,2,0.8461538461538461,9,13,0.6923076923076923
San Diego St.,11,2,0.8461538461538461,7,13,0.5384615384615384
Utah,11,2,0.8461538461538461,11,13,0.8461538461538461
Western Carolina,11,2,0.8461538461538461,6,13,0.46153846153846156
Auburn,10,2,0.8333333333333334,9,12,0.75
Baylor,10,2,0.8333333333333334,8,12,0.6666666666666666
Cornell,10,2,0.8333333333333334,5,12,0.4166666666666667
Dayton,10,2,0.8333333333333334,7,12,0.5833333333333334
Illinois,10,2,0.8333333333333334,9,12,0.75
Kentucky,10,2,0.8333333333333334,9,12,0.75
Miami FL,10,2,0.8333333333333334,9,12,0.75
Northwestern,10,2,0.8333333333333334,10,12,0.8333333333333334
TCU,10,2,0.8333333333333334,8,12,0.6666666666666666
Texas,10,2,0.8333333333333334,10,12,0.8333333333333334
Texas Tech,10,2,0.8333333333333334,10,12,0.8333333333333334
Longwood,12,3,0.8,8,15,0.5333333333333333
Cal St. Northridge,11,3,0.7857142857142857,6,14,0.42857142857142855
Marquette,11,3,0.7857142857142857,11,14,0.7857142857142857
Western Kentucky,11,3,0.7857142857142857,7,14,0.5
Appalachian St.,10,3,0.7692307692307693,8,13,0.6153846153846154
Arizona,10,3,0.7692307692307693,9,13,0.6923076923076923
Butler,10,3,0.7692307692307693,10,13,0.7692307692307693
Davidson,10,3,0.7692307692307693,7,13,0.5384615384615384
Evansville,10,3,0.7692307692307693,6,13,0.46153846153846156
Florida,10,3,0.7692307692307693,10,13,0.7692307692307693
Florida Atlantic,10,3,0.7692307692307693,6,13,0.46153846153846156
Georgia,10,3,0.7692307692307693,10,13,0.7692307692307693
Indiana,10,3,0.7692307692307693,10,13,0.7692307692307693
Minnesota,10,3,0.7692307692307693,11,13,0.8461538461538461
Oregon,10,3,0.7692307692307693,11,13,0.8461538461538461
Saint Joseph's,10,3,0.7692307692307693,10,13,0.7692307692307693
Syracuse,10,3,0.7692307692307693,8,13,0.6153846153846154
Virginia,10,3,0.7692307692307693,9,13,0.6923076923076923
Boston College,9,3,0.75,7,12,0.5833333333333334
Bowling Green,9,3,0.75,10,12,0.8333333333333334
Duke,9,3,0.75,9,12,0.75
Duquesne,9,3,0.75,8,12,0.6666666666666666
Kansas St.,9,3,0.75,10,12,0.8333333333333334
Massachusetts,9,3,0.75,10,12,0.8333333333333334
N.C. State,9,3,0.75,7,12,0.5833333333333334
North Carolina,9,3,0.75,9,12,0.75
St. Bonaventure,9,3,0.75,7,12,0.5833333333333334
Tennessee,9,3,0.75,7,12,0.5833333333333334
Tulane,9,3,0.75,9,12,0.75
Tulsa,9,3,0.75,9,12,0.75
UCF,9,3,0.75,11,12,0.9166666666666666
UNC Wilmington,9,3,0.75,3,12,0.25
Wake Forest,9,3,0.75,11,12,0.9166666666666666
Wisconsin,9,3,0.75,7,12,0.5833333333333334
High Point,11,4,0.7333333333333333,9,15,0.6
San Francisco,11,4,0.7333333333333333,9,15,0.6
Liberty,10,4,0.7142857142857143,9,14,0.6428571428571429
Morehead St.,10,4,0.7142857142857143,6,14,0.42857142857142855
Portland St.,10,4,0.7142857142857143,5,14,0.35714285714285715
Youngstown St.,10,4,0.7142857142857143,8,14,0.5714285714285714
Arkansas,9,4,0.6923076923076923,11,13,0.8461538461538461
Belmont,9,4,0.6923076923076923,6,13,0.46153846153846156
Boise St.,9,4,0.6923076923076923,10,13,0.7692307692307693
Charleston,9,4,0.6923076923076923,8,13,0.6153846153846154
Creighton,9,4,0.6923076923076923,8,13,0.6153846153846154
Gonzaga,9,4,0.6923076923076923,10,13,0.7692307692307693
La Salle,9,4,0.6923076923076923,8,13,0.6153846153846154
Maryland,9,4,0.6923076923076923,9,13,0.6923076923076923
Missouri St.,9,4,0.6923076923076923,7,13,0.5384615384615384
Oregon St.,9,4,0.6923076923076923,11,13,0.8461538461538461
Pittsburgh,9,4,0.6923076923076923,11,13,0.8461538461538461
Quinnipiac,9,4,0.6923076923076923,6,13,0.46153846153846156
SMU,9,4,0.6923076923076923,10,13,0.7692307692307693
Southern Illinois,9,4,0.6923076923076923,10,13,0.7692307692307693
St. John's,9,4,0.6923076923076923,8,13,0.6153846153846154
Tarleton St.,9,4,0.6923076923076923,6,13,0.46153846153846156
Texas A&M,9,4,0.6923076923076923,7,13,0.5384615384615384
UMass Lowell,9,4,0.6923076923076923,5,13,0.38461538461538464
UNC Greensboro,9,4,0.6923076923076923,5,13,0.38461538461538464
Villanova,9,4,0.6923076923076923,7,13,0.5384615384615384
Virginia Tech,9,4,0.6923076923076923,10,13,0.7692307692307693
Washington St.,9,4,0.6923076923076923,10,13,0.7692307692307693
Weber St.,9,4,0.6923076923076923,8,13,0.6153846153846154
Akron,8,4,0.6666666666666666,9,12,0.75
Ball St.,8,4,0.6666666666666666,8,12,0.6666666666666666
Cleveland St.,10,5,0.6666666666666666,8,15,0.5333333333333333
Columbia,8,4,0.6666666666666666,7,12,0.5833333333333334
Georgia Tech,8,4,0.6666666666666666,7,12,0.5833333333333334
Harvard,8,4,0.6666666666666666,6,12,0.5
Radford,10,5,0.6666666666666666,6,15,0.4
Rutgers,8,4,0.6666666666666666,10,12,0.8333333333333334
San Diego,10,5,0.6666666666666666,12,15,0.8
St. Thomas,10,5,0.6666666666666666,6,15,0.4
Jacksonville,9,5,0.6428571428571429,6,14,0.42857142857142855
Kennesaw St.,9,5,0.6428571428571429,6,14,0.42857142857142855
Long Beach St.,9,5,0.6428571428571429,5,14,0.35714285714285715
Louisiana Tech,9,5,0.6428571428571429,7,14,0.5
UC Irvine,9,5,0.6428571428571429,6,14,0.42857142857142855
Vermont,9,5,0.6428571428571429,7,14,0.5
Marist,7,4,0.6363636363636364,4,11,0.36363636363636365
South Florida,7,4,0.6363636363636364,9,11,0.8181818181818182
Alabama,8,5,0.6153846153846154,9,13,0.6923076923076923
Arizona St.,8,5,0.6153846153846154,8,13,0.6153846153846154
Binghamton,8,5,0.6153846153846154,6,13,0.46153846153846156
Bradley,8,5,0.6153846153846154,7,13,0.5384615384615384
Cal Baptist,8,5,0.6153846153846154,9,13,0.6923076923076923
Chattanooga,8,5,0.6153846153846154,7,13,0.5384615384615384
Delaware,8,5,0.6153846153846154,6,13,0.46153846153846156
East Tennessee St.,8,5,0.6153846153846154,6,13,0.46153846153846156
Hawaii,8,5,0.6153846153846154,11,13,0.8461538461538461
Illinois St.,8,5,0.6153846153846154,9,13,0.6923076923076923
Iowa,8,5,0.6153846153846154,9,13,0.6923076923076923
LSU,8,5,0.6153846153846154,10,13,0.7692307692307693
Loyola Chicago,8,5,0.6153846153846154,11,13,0.8461538461538461
Michigan St.,8,5,0.6153846153846154,11,13,0.8461538461538461
Missouri,8,5,0.6153846153846154,10,13,0.7692307692307693
Montana,8,5,0.6153846153846154,6,13,0.46153846153846156
New Hampshire,8,5,0.6153846153846154,5,13,0.38461538461538464
Richmond,8,5,0.6153846153846154,9,13,0.6923076923076923
Seattle,8,5,0.6153846153846154,9,13,0.6923076923076923
Seton Hall,8,5,0.6153846153846154,9,13,0.6923076923076923
South Alabama,8,5,0.6153846153846154,7,13,0.5384615384615384
Stephen F. Austin,8,5,0.6153846153846154,7,13,0.5384615384615384
The Citadel,8,5,0.6153846153846154,6,13,0.46153846153846156
UAB,8,5,0.6153846153846154,10,13,0.7692307692307693
VCU,8,5,0.6153846153846154,12,13,0.9230769230769231
